name,ring,quadrant,isNew,description
Jbehave,hold,framework,TRUE,teste
JUnit,adopt,framework,FALSE,teste
TestNG,adopt,framework,TRUE,teste
Selenium,adopt,framework,FALSE,teste
RobotFramework,assess,framework,FALSE,teste
Cypress,trial,framework,FALSE,teste
Selenide,trial,framework,FALSE,teste
Conduktor,adopt,framework,FALSE,teste
Spring Boot,adopt,framework,TRUE,teste
Oracle Service Bus,hold,framework,FALSE,teste
Gherkin,trial,language and platforms,FALSE,teste
Java,adopt,language and platforms,FALSE,teste
JavaScript,trial,language and platforms,TRUE,teste
Kotlin,adopt,language and platforms,TRUE,teste
Groovy,trial,language and platforms,TRUE,teste
RestAssured,adopt,library,FALSE,teste
Soap-Assured,trial,library,TRUE,teste
DB-Assured,adopt,library,FALSE,teste
Kafka-Assured,adopt,library,FALSE,teste
Legado-Helper,assess,library,FALSE,teste
Java Faker,adopt,library,FALSE,teste
Log4J,adopt,library,FALSE,teste
ExtentReports,adopt,library,FALSE,teste
Lombok,adopt,library,FALSE,teste
Postman,adopt,language and platforms,TRUE,teste
Insomnia,assess,language and platforms,TRUE,teste
BrowserStack,adopt,language and platforms,FALSE,teste
Docker CLI,adopt,language and platforms,FALSE,teste
Cucumber,hold,tools,FALSE,teste
Gauge,hold,tools,FALSE,teste
SoapUI,adopt,tools,FALSE,teste
Jmeter,adopt,tools,TRUE,teste
Wiremock,adopt,tools,FALSE,teste
Hoverfly,adopt,tools,FALSE,teste
Allure Report,adopt,tools,FALSE,teste
Json Schema Validator,adopt,tools,FALSE,teste
Gradle,adopt,tools,FALSE,teste
Maven,adopt,tools,FALSE,teste
SQL Developer,adopt,tools,FALSE,teste
Dbeaver,adopt,tools,FALSE,teste
MongoDB Compass,adopt,tools,FALSE,teste
Robo3T,adopt,tools,FALSE,teste
Offset Explorer,trial,tools,FALSE,teste
Intellij IDEA,adopt,tools,FALSE,teste
Visual Studio,adopt,tools,FALSE,teste
PL/SQL Developer,trial,tools,FALSE,teste
